pacemaker cell (0)	HCN4	Cx45	PRM1	CABS1	PRM2	HMGB4	GTSF1L	TXNDC2	DRICH1	CCDC54	C3ORF22	FSCB	KIF2B	CAPZA3	SPATA3	RNF148	TBC1D28	PPP1R2P9	SPATA31A1	C7ORF34	RP11.1379J22.7	RP11.798K23.3	CTA.246H3.8	SPATA31C2	HSFY1P1	RP11.98J23.1	RP11.566K19.5	SMCP	TRIM42	TCP11	C21ORF140	TBC1D3F	RP11.384K6.6	FAM71B	RNF151	CTC.441N14.4	FAM71C	RP11.404K5.2	TPD52L3	ODF1	PRR30	RP11.360D2.1	TMCO5B	C2ORF57	TBATA	SRRM5	SPATA31D1	DUSP21	RP11.266L9.3	SPZ1	CCDC168	OR2H1	CRISP2	RNF133	TMEM31	PRNT	SPPL2C	ACSBG2	OR7E156P	C20ORF173	SPATA31D5P	SPATA31C1	RP11.613H2.1	AC130709.1	FAM205A	U51561.1	SPATA31A3	TPPP2	RP11.104H15.12	C20ORF141	TMCO2	MYH6	TSSK6	AKAP4	FAM71E2	CALR3	GOLGA6L7P	CCDC188	TSKS	BPIFA3	ACTL7B	SPANXN5	PGK2	FAM205BP	SPATA31E1	SPACA4	RP11.578F21.4	HOMER2P1	LELP1	FAM71F1	H1FNT	RP11.249L12.1	DNAJB8	TNP1	RP11.526D8.7	PRSS37	PRM3	OR7E104P	TMEM191C	FAM183BP	SLC6A10P	C10ORF62
endothelial cell (1)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
smooth muscle cell (2)	MYH11	TAGLN	ACTA2	CNN1	ACTG2	MYL9	MYLK	CSRP1	CALD1	KANK2	PALLD	SMTN	MRVI1	COL16A1	ADGRA2	LIMS2	TAGLN	PGM5	ACTA2	EFEMP2	PARVA	FSTL1	MXRA8	LPP	LMOD1	ADAMTS2	COL5A1	TPM2	COL1A1	LOXL2	ACTN1	TNS1	TUBB6	PDGFRB	FBN1	ITGA11	IGFBP7	EHD2	LTBP2	EMILIN1	PDLIM7	SPARC	LOXL1	SERPINH1	COL6A2	CREB3L1	LAMB2	MRGPRF	TGFB1I1	LAMC1	PTRF	NTN4	ELN	CTGF	CCDC80	ARHGEF17	COL6A1	FERMT2	FLNA	COL4A2	CDH11	PODN	COL5A2	ZNF469	BMP1	ADAMTS12	SSC5D	DDR2	FBXO32	TNS2	SMOC2	ADAM33	KIAA1462	COL14A1	PPP1R12B	GAS6	FN1	RCN3	VASN	PXDN	CKAP4	CD248	MRC2	TPM4	CLIC4	FRMD6	MFGE8	WNT5B	LOX	CRIM1	SCARF2	SYDE1	COPZ2	TIMP2	FKBP10	MYO1C	VCL	ITGB1	COL12A1	ACTC1	CALU	EXT1	CD151
fibroblast (3)	PDGFRA	GSN	DCN	FBLN2	ANGPTL2	CYBRD1	ZCCHC24	KANK2	C1S	C1R	FBLN1	BDKRB2	ECM2	SCARA5	SOD3	CD248	CCDC80	DDR2	MRGPRF	PODN	RECK	LRP1	PDGFRB	ADAM33	FBN1	ADGRA2	TWIST2	PTGIS	EPAS1	FSTL1	MMP2	ISLR	MXRA8	ADH1B	FMOD	EFEMP2	FBLN5	CDH11	PLPP3	COL3A1	COL6A1	HSPB6	TIMP2	PLAC9	PRRX1	IGFBP4	SVEP1	ADAMTS2	PCOLCE	SLIT3	PAMR1	COL6A2	LAMB2	EMILIN1	LAMA4	CLMP	VASN	LOX	EHD2	LOXL1	LAMA2	LTBP2	PARVA	PCDHGA12	CEMIP	MRC2	FKBP9	GREM1	GAS6	RCN3	QSOX1	TNS1	PLIN1	SEMA3G	TUSC5	WNT2	AQP7	ADAMTS5	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	LEP	PNPLA2	LPL	DGKI	MFAP4	LIPE	GPIHBP1	AL513122.2	NPR1	LUM	CIDEC	PLIN4	TMBIM1	FZD4	TCF21	RAPGEF3	DPT	ADIRF
cardiomyocyte (4)	NPPA	MYL4	MYL7	POPDC2	MYH6	PLN	UNC45B	HSPB7	NKX2.5	CSRP3	LRRC10	TNNT2	RP11.415I12.2	SMYD1	SYNPO2L	MYOCD	MYBPC3	BVES	PALM2.AKAP2	ANKRD1	TBX20	NEBL	MYOM1	TBX5	NPPB	MYOZ2	TNNI3K	SORBS2	MMP15	PKP2	HCN4	LDB3	TNNC1	XIRP1	FHOD3	ITGB1BP2	CORIN	SCN5A	SLC8A1	SLC27A6	ACTN2	ADCY5	ALPK2	MYL3	JPH2	HAND2	PDLIM5	SMPX	CTNNA3	FABP3	RYR2	SNTA1	SPHKAP	MYO18B	CHRM2	PPP1R12B	FILIP1	TECRL	MYLK3	CNN1	DUSP27	TTN	ALPK3	PRSS35	HRC	SLC4A3	CACNA1C	TRIM55	EMC10	MYL9	ADPRHL1	ATP2A2	CCDC141	MYL7	MYL4	NPPA	TNNI1	GJA3	HSPB3	PRSS42	GATA4	B4GALNT3	PRSS44	PLEKHA7	SBK2	MYH7	CORO6	BMP5	TPM1	PRSS45	RBM24	CASQ2	KIF26B	RNF207	ADCY6	CRIP2	TSPAN9	MYBPHL	SPEG	MYZAP	SLC25A4	PAM	BMP10
fibroblast (5)	PDGFRA	GSN	DCN	FBLN2	ANGPTL2	CYBRD1	ZCCHC24	KANK2	C1S	C1R	FBLN1	BDKRB2	ECM2	SCARA5	SOD3	CD248	CCDC80	DDR2	MRGPRF	PODN	RECK	LRP1	PDGFRB	ADAM33	FBN1	ADGRA2	TWIST2	PTGIS	EPAS1	FSTL1	MMP2	ISLR	MXRA8	ADH1B	FMOD	EFEMP2	FBLN5	CDH11	PLPP3	COL3A1	COL6A1	HSPB6	TIMP2	PLAC9	PRRX1	IGFBP4	SVEP1	ADAMTS2	PCOLCE	SLIT3	PAMR1	COL6A2	LAMB2	EMILIN1	LAMA4	CLMP	VASN	LOX	EHD2	LOXL1	LAMA2	LTBP2	PARVA	PCDHGA12	CEMIP	MRC2	FKBP9	GREM1	GAS6	RCN3	QSOX1	TNS1	PLIN1	SEMA3G	TUSC5	WNT2	AQP7	ADAMTS5	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	LEP	PNPLA2	LPL	DGKI	MFAP4	LIPE	GPIHBP1	AL513122.2	NPR1	LUM	CIDEC	PLIN4	TMBIM1	FZD4	TCF21	RAPGEF3	DPT	ADIRF
macrophage (6)	CD14	C1QA	CD68	FOLR2	CTSZ	RNASE1	C1QC	STAB1	FCGRT	GRN	SLC15A3	IFI30	CD163	CTSB	LGMN	LILRB4	VSIG4	ACP5	RAB7B	NPC2	MMP9	FTL	SIGLEC1	LILRB5	NPL	FUCA1	CMKLR1	TYROBP	NINJ1	EMILIN2	MAN2B1	CTSD	CSF1R	PSAP	PILRA	TREM2	PLEKHO2	GPR84	CD4	C3AR1	METRNL	PLAUR	ADAP2	TYMP	CREG1	TNFRSF1B	TOM1	SLC43A2	MS4A4A	C1QA	CD68	FOLR2	CAPG	CD14	MMP19	SPHK1	ICAM1	OSCAR	SIGLEC9	FPR3	AMPD3	CCR5	PKD2L1	TMEM51	NR1H3	MGAT1	FCER1G	SQRDL	CTSL	LILRB2	MSC	ACP2	LGALS9	PLD3	AIF1	CCR1	GM2A	SLAMF8	C5AR1	SPI1	CTD.2192J16.22	SIRPA	PIK3R5	LHFPL2	CYBB	LAMP1	SEMA6B	CXCL16	HMOX1	CEBPB	IFNGR2	ENG	P2RY6	MS4A7	IL1RN	KCNK13	MAFB	RAB20	NFKBIE	SLCO2B1	CCRL2	TRPM2	CST3	SRC
neuronal (7)	PLP1	NRXN1	NRXN3	DNAJC6	GNAO1	DLG2	KIF5A	KIF1A	KCNA2	TPPP	APLP1	TUBB4A	SYT1	SCN2A	RTN1	SLC12A5	MAP2	TTLL7	FAIM2	SLC1A2	SNAP25	KCNJ9	DIRAS2	SNAP91	CLASP2	MAP1A	DNM1	SYT11	NFASC	TMOD2	MYT1L	STXBP1	STX1B	SLC6A1	VSNL1	PHYHIP	CPLX2	ATP1A3	DLGAP1	FXYD6	NDRG4	SRCIN1	BSN	NMNAT2	PNMA2	CDK5R1	PREPL	NAPB	CTNNA2	KIF3C	TMEM59L	ATCAY	ARNT2	SV2A	ERMN	MAG	MBP	SEPT4	OPALIN	DBNDD2	MOBP	TMEM144	HAPLN2	CNP	MOG	MTURN	GPR37	TMEM235	CNTNAP4	CARNS1	CLDND1	CNDP1	PEX5L	PLEKHB1	PLEKHH1	RAPGEF5	LGI3	CHADL	ABCA2	PRR18	GPRC5B	MAP6D1	TTYH2	FGF1	SLAIN1	BCAS1	FA2H	DAAM2	FMNL2	AK5	S100B	GRIA2	ANK2	KCNJ10	SLC5A11	SLCO1A2	CADM2	GRIN2B	CDK18	AATK	TMEM151A	CERCAM	PAQR6
endothelial cell (8)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
smooth muscle cell (9)	MYH11	TAGLN	ACTA2	CNN1	ACTG2	MYL9	MYLK	CSRP1	CALD1	KANK2	PALLD	SMTN	MRVI1	COL16A1	ADGRA2	LIMS2	TAGLN	PGM5	ACTA2	EFEMP2	PARVA	FSTL1	MXRA8	LPP	LMOD1	ADAMTS2	COL5A1	TPM2	COL1A1	LOXL2	ACTN1	TNS1	TUBB6	PDGFRB	FBN1	ITGA11	IGFBP7	EHD2	LTBP2	EMILIN1	PDLIM7	SPARC	LOXL1	SERPINH1	COL6A2	CREB3L1	LAMB2	MRGPRF	TGFB1I1	LAMC1	PTRF	NTN4	ELN	CTGF	CCDC80	ARHGEF17	COL6A1	FERMT2	FLNA	COL4A2	CDH11	PODN	COL5A2	ZNF469	BMP1	ADAMTS12	SSC5D	DDR2	FBXO32	TNS2	SMOC2	ADAM33	KIAA1462	COL14A1	PPP1R12B	GAS6	FN1	RCN3	VASN	PXDN	CKAP4	CD248	MRC2	TPM4	CLIC4	FRMD6	MFGE8	WNT5B	LOX	CRIM1	SCARF2	SYDE1	COPZ2	TIMP2	FKBP10	MYO1C	VCL	ITGB1	COL12A1	ACTC1	CALU	EXT1	CD151
fibroblast (10)	PDGFRA	GSN	DCN	FBLN2	ANGPTL2	CYBRD1	ZCCHC24	KANK2	C1S	C1R	FBLN1	BDKRB2	ECM2	SCARA5	SOD3	CD248	CCDC80	DDR2	MRGPRF	PODN	RECK	LRP1	PDGFRB	ADAM33	FBN1	ADGRA2	TWIST2	PTGIS	EPAS1	FSTL1	MMP2	ISLR	MXRA8	ADH1B	FMOD	EFEMP2	FBLN5	CDH11	PLPP3	COL3A1	COL6A1	HSPB6	TIMP2	PLAC9	PRRX1	IGFBP4	SVEP1	ADAMTS2	PCOLCE	SLIT3	PAMR1	COL6A2	LAMB2	EMILIN1	LAMA4	CLMP	VASN	LOX	EHD2	LOXL1	LAMA2	LTBP2	PARVA	PCDHGA12	CEMIP	MRC2	FKBP9	GREM1	GAS6	RCN3	QSOX1	TNS1	PLIN1	SEMA3G	TUSC5	WNT2	AQP7	ADAMTS5	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	LEP	PNPLA2	LPL	DGKI	MFAP4	LIPE	GPIHBP1	AL513122.2	NPR1	LUM	CIDEC	PLIN4	TMBIM1	FZD4	TCF21	RAPGEF3	DPT	ADIRF
